biomarkers,IVW_OR,MR_Egger_OR,Weighted_median_OR,IVW_P,MR_Egger_P,Weighted_median_P,IVW_OR,MR_Egger_OR,Weighted_median_OR,IVW_P,MR_Egger_P,Weighted_median_P,IVW_OR,MR_Egger_OR,Weighted_median_OR,IVW_P,MR_Egger_P,Weighted_median_P,category
ALT,1.114270561,1.281209882,1.20506575,0.397909076,0.318612114,0.342683123,0.965582591,0.930266038,1.000998326,0.606608537,0.583879546,0.99191815,0.882416337,0.880443421,0.887316653,0.138950107,0.438107331,0.323346451,Liver
ALB,0.898161036,0.446319314,0.671131203,0.424991846,0.007485247,0.045099931,0.991563872,0.846727974,0.903425347,0.887293753,0.217425798,0.246429166,1.132697409,0.89332195,1.250134426,0.167203199,0.578786941,0.065595444,Liver
ALP,0.985309768,0.882247043,0.939587379,0.832183358,0.250083337,0.582233281,0.950997292,0.904594049,0.933322516,0.138031909,0.05806502,0.220476246,0.997848366,1.007676991,0.867518983,0.966403856,0.923773094,0.079358682,Bone and Joint
APOA,0.95069363,0.740222188,0.945286957,0.572172348,0.048866133,0.70643597,0.965929758,0.904646628,0.854389253,0.472972576,0.22666233,0.027249305,0.964405352,0.923540918,1.065999352,0.561811728,0.458024187,0.472084152,Cardiovascular
APOB,1.014139056,1.01487196,1.134529321,0.864017876,0.908686999,0.327878712,0.959039034,0.981598724,1.014442438,0.296802498,0.76797393,0.807933343,0.931029769,0.98131098,0.879115935,0.19320568,0.82655223,0.108765359,Cardiovascular
AST,1.035304268,1.437426537,1.43160453,0.763846173,0.110594359,0.061907909,1.040556153,1.089793648,1.036943802,0.488085396,0.447683538,0.679576295,0.960671005,1.049640838,1.004872458,0.572598226,0.729800372,0.96597295,Liver
AST2ALT,1.037865874,1.072253173,1.083019101,0.775519943,0.791617413,0.701668372,1.057275855,1.141935992,1.164117086,0.374095323,0.295647689,0.112168016,1.12390985,1.035302555,1.010035733,0.188219491,0.846695319,0.936719131,Liver
CRP,0.965857778,0.937877711,0.969595626,0.717653459,0.68132481,0.84500182,1.070186021,1.028789948,1.081098659,0.13406761,0.699886807,0.268787158,1.082285408,1.060880347,1.03952166,0.195070387,0.552970849,0.725376416,Cardiovascular
CA,1.177071727,1.106409378,1.213672573,0.163480307,0.684841938,0.328706442,1.069474578,0.831291832,0.959066526,0.223608394,0.110843477,0.620249802,0.946258702,0.792328992,0.807766325,0.471812661,0.154077052,0.058348527,Bone and Joint
CHOL,0.941173181,0.861587902,0.964588256,0.438325781,0.256242791,0.780380439,0.939625767,0.954124901,1.033433796,0.10138916,0.461787568,0.562523901,0.934454017,1.028010022,1.001750195,0.20834442,0.758960562,0.982088103,Cardiovascular
CRE,0.851693293,0.991929097,0.913327827,0.103123431,0.971835103,0.529694549,1.011022263,1.093635681,0.9839054,0.819719559,0.424565614,0.822425521,1.018491118,0.981600791,1.071117513,0.768373562,0.898120499,0.439462739,Renal
UCR,1.541138185,1.069718602,1.182467012,0.394425973,0.975875393,0.785947009,1.425439989,0.680854076,1.269673584,0.247742277,0.774224031,0.439528436,0.531447837,1.228900908,0.652669832,0.014339504,0.853107703,0.228555932,Renal
CYS,1.02236916,1.123038107,1.097608093,0.814856458,0.528939553,0.553927322,0.996882961,1.029678445,1.045515434,0.947138342,0.750011506,0.541939588,1.045827196,1.01078406,1.070397393,0.443738353,0.925186321,0.486058647,Renal
BILD,0.954175352,1.007433872,0.924642041,0.591683183,0.943503274,0.544516745,1.010736276,1.025185183,0.996886641,0.795079486,0.612855798,0.959320358,0.985499422,1.057858764,0.917228701,0.783901129,0.375402771,0.284964721,Liver
EGFR,1.216430282,0.879452627,1.116173495,0.050507489,0.581708939,0.461180674,0.996975632,0.926929706,1.01363423,0.951468634,0.513680026,0.851972406,0.974449056,1.04658501,0.931770334,0.68183441,0.757424306,0.442514943,Renal
GGT,1.009403258,1.13714281,1.239257211,0.909950217,0.404650402,0.144780678,1.137270022,1.092063152,1.09938173,0.001715866,0.250269859,0.166890037,0.931092295,1.02747488,0.928719763,0.208496837,0.797527542,0.426855325,Liver
GLU,0.856129014,0.838578753,1.039274699,0.285025693,0.476200993,0.8456409,0.933697905,1.12733997,1.072195665,0.321161368,0.298543635,0.525114094,0.76627382,1.037374078,0.855883144,0.035392102,0.862230398,0.274106475,Diabetes
HBA1C,0.964817515,1.184910715,1.211555091,0.692727313,0.321482301,0.17738417,1.009508404,1.096615103,1.016983599,0.839353843,0.296173696,0.808468345,0.919484771,0.956006749,1.034163277,0.188931381,0.709685818,0.698413057,Diabetes
HDL,0.936174433,0.842618452,0.956197737,0.412175394,0.217117802,0.724985978,1.008292714,1.034022272,0.992317259,0.849384397,0.655760233,0.898984823,1.028332668,1.101792798,1.130081298,0.601531584,0.293617469,0.10291717,Cardiovascular
IGF-1,1.032514227,0.902821998,1.090007572,0.717535096,0.563959883,0.542702002,1.036740566,1.082931753,1.114912882,0.428078988,0.382976716,0.115068441,1.077051285,0.993867147,1.004327179,0.209698431,0.95863449,0.961991497,Hormone
LDL-C,1.019955944,0.91078946,1.13894245,0.81361968,0.483531762,0.300348282,0.946309338,0.948762241,1.028315187,0.151469411,0.391749649,0.657367828,0.928258413,0.898956795,0.873325013,0.186446288,0.236289783,0.089833283,Cardiovascular
LPA,1.050146514,0.990343101,1.113523264,0.642272022,0.951950063,0.442361527,0.981696236,0.90702467,1.029844788,0.709620509,0.21358213,0.67923149,1.001328081,0.987802211,1.06507837,0.987330487,0.926357127,0.468819253,Cardiovascular
URMA,0.542077275,8.476341672,0.639487681,0.498204438,0.240553993,0.53976163,1.285838012,4.33010544,1.412725609,0.572739075,0.173082833,0.396932857,0.768455675,0.733475055,0.833085528,0.459691686,0.729462948,0.658741551,Renal
NAP,0.940081608,0.815299447,0.958701376,0.52042797,0.311445416,0.791755964,1.026516332,1.122275508,0.950748734,0.615313004,0.291360618,0.53103084,0.903751176,0.998518506,0.828305772,0.132783137,0.99162905,0.069374641,Renal
PHOS,0.822038542,0.860232094,0.797081871,0.082203765,0.441421594,0.21708217,0.899147167,0.817696533,0.889381034,0.077275718,0.053893179,0.205207295,1.229144467,1.190767914,1.282929442,0.001806874,0.127206622,0.029428403,Renal
URK,5.825320094,1.683799716,2.524431,0.034023507,0.919987329,0.352045192,0.832000323,4.388373307,0.433746603,0.79254738,0.733940895,0.161546466,1.035889579,19.60304654,0.726414309,0.939308118,0.294007935,0.599665837,Renal
SHBG,1.142758933,1.061620745,1.112638324,0.132545538,0.696124472,0.467360004,0.97871155,0.924459558,0.868161023,0.61843473,0.292395296,0.032329618,0.945733848,0.907477724,0.989585328,0.326388204,0.323036013,0.900809691,Hormone
URNA,1.680841634,7.276269966,1.260036181,0.212859527,0.310306794,0.689227783,1.23072193,1.163147671,1.366824323,0.39236424,0.894713949,0.266896667,0.849521538,2.378802967,0.567015906,0.591670084,0.542768467,0.118233417,Renal
TES,1.220581518,1.001209995,1.192897856,0.225576447,0.9967498,0.476707099,1.152973115,0.926635726,1.151821725,0.066020546,0.585968243,0.245860273,1.032161871,0.791532832,0.954540819,0.769264605,0.227184119,0.757811612,Hormone
TBIL,0.995371459,0.992945995,1.072660754,0.957480831,0.946163323,0.592302219,1.094266321,1.126036111,1.154467215,0.038870911,0.024701777,0.014424865,0.989207851,1.003322903,1.066730129,0.838104337,0.958568436,0.415779931,Liver
TP,0.900339306,0.711011194,0.911523485,0.379621894,0.217777053,0.640189517,0.98514626,1.164840326,0.932918809,0.799389452,0.261869221,0.435105917,0.949007231,0.979038837,0.786588266,0.525199759,0.911489706,0.038059149,Renal
TRIG,0.998248316,1.34903741,1.191125814,0.983485299,0.022516606,0.200998038,1.015094022,0.995105153,1.048230952,0.738400292,0.944477738,0.47998922,0.977233832,0.988072465,0.871743224,0.683245583,0.892360935,0.107172869,Cardiovascular
UA,0.947598952,0.843651267,0.843715239,0.573768353,0.32664503,0.289175949,0.950439898,0.970847675,0.962551545,0.313455854,0.746029967,0.638790888,0.991238128,1.05778747,1.086700026,0.881177588,0.598277368,0.391978605,Renal
BUN,0.992216618,1.694622391,1.072496478,0.95177267,0.068465577,0.718751385,1.091166013,1.154106014,1.065800313,0.159023243,0.306150858,0.489621073,1.23549451,1.579949946,1.250886004,0.004877907,0.007418714,0.088744283,Renal
VITD,1.22314938,1.389666336,1.193801122,0.205492464,0.235104685,0.457705372,1.129439004,1.286060415,1.152781837,0.117974733,0.065012795,0.223500134,0.968511635,0.903826815,1.001442119,0.78589298,0.62287942,0.991832081,Bone and Joint
